Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,2JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,2JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,OWI,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,Interstate Compact,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,Weapons,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Other,Other Criminal,No
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Weapons,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,D Felony,Public Order,Weapons,No
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,6JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Female,D Felony,Public Order,OWI,Yes
2011.0,2014.0,3JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Property,Theft,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Violent,Sex,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Sex,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,NA,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Other Violent,Yes
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Vandalism,Yes
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,C Felony,Violent,Sex,No
2011.0,2014.0,NA,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,No
2011.0,2014.0,NA,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,No
2011.0,2014.0,NA,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,No
2011.0,2014.0,NA,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,Interstate Compact,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,Interstate Compact,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,Yes
2011.0,2014.0,Interstate Compact,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,Interstate Compact,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White -,35-44,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,3JD,Parole,American Indian or Alaska Native - Non-Hispanic,Under 25,Female,C Felony,Violent,Assault,No
2011.0,2014.0,NA,Parole,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Violent,Kidnap,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Violent,Assault,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Public Order,Alcohol,No
2011.0,2014.0,Interstate Compact,Parole,White - Non-Hispanic,55 and Older,Female,D Felony,Public Order,OWI,No
2011.0,2014.0,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,Yes
2011.0,2014.0,5JD,Special Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Public Order,Traffic,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,25-34,Female,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,OWI,Yes
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,Under 25,Female,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Property,Theft,No
2011.0,2014.0,4JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Violent,Assault,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No
2011.0,2014.0,8JD,Parole,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,Under 25,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,6JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes
2011.0,2014.0,2JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No
2011.0,2014.0,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No
2011.0,2014.0,7JD,Parole,White - Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,B Felony,Violent,Sex,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,B Felony,Violent,Sex,No
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Vandalism,Yes
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Drug,Drug Possession,No
2011.0,2014.0,1JD,Parole,White - Hispanic,35-44,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Violent,Kidnap,Yes
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes
2011.0,2014.0,Interstate Compact,Parole,White - Non-Hispanic,Under 25,Female,D Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,6JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Violent,Other Violent,Yes
2011.0,2014.0,7JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Theft,No
2011.0,2014.0,4JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,55 and Older,Female,B Felony,Drug,Trafficking,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No
2011.0,2014.0,3JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,3JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Violent,Kidnap,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,Weapons,No
2011.0,2014.0,NA,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,No
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Violent,Sex,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Burglary,Yes
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Violent,Sex,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,No
2011.0,2014.0,NA,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Female,D Felony,Violent,Assault,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes
2011.0,2014.0,Interstate Compact,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,Interstate Compact,Parole,White - Hispanic,25-34,Male,C Felony,Violent,Sex,No
2011.0,2014.0,Interstate Compact,Parole,White - Hispanic,25-34,Male,C Felony,Violent,Sex,No
2011.0,2014.0,Interstate Compact,Parole,White - Hispanic,25-34,Male,C Felony,Violent,Sex,No
2011.0,2014.0,Interstate Compact,Parole,White - Hispanic,25-34,Male,C Felony,Violent,Sex,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,3JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Other Violent,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Hispanic,45-54,Female,Aggravated Misdemeanor,Public Order,Traffic,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No
2011.0,2014.0,Interstate Compact,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,Other Public Order,Yes
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Other,Other Criminal,No
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
2011.0,2014.0,Interstate Compact,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,NA,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Theft,No
2011.0,2014.0,NA,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Theft,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,Under 25,Male,Felony - Enhancement to Original Penalty,Violent,Sex,No
2011.0,2014.0,2JD,Parole,White - Non-Hispanic,45-54,Female,Aggravated Misdemeanor,Property,Theft,No
2011.0,2014.0,4JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
2011.0,2014.0,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Violent,Assault,No
2011.0,2014.0,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Violent,Assault,No
2011.0,2014.0,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Violent,Assault,No
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No
2011.0,2014.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,Yes
2011.0,2014.0,6JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Violent,Assault,No
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Forgery/Fraud,No
2011.0,2014.0,4JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes
2011.0,2014.0,2JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes
2011.0,2014.0,Interstate Compact,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,No
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Violent,Robbery,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Violent,Sex,No
2011.0,2014.0,1JD,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Violent,Sex,No
2011.0,2014.0,5JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes
2011.0,2014.0,5JD,Special Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Sex,Yes
2011.0,2014.0,2JD,Parole,White - Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes
2011.0,2014.0,8JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Murder/Manslaughter,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No
2011.0,2014.0,7JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Property,Vandalism,No
2011.0,2014.0,3JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Robbery,No
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Theft,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Other Public Order,Yes
2011.0,2014.0,8JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Property,Vandalism,Yes
2011.0,2014.0,NA,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Violent,Sex,No
2011.0,2014.0,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes
2011.0,2014.0,6JD,Parole,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Burglary,No
2011.0,2014.0,Interstate Compact,Parole,Asian or Pacific Islander - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No
